Date,Day,Total Students,Holiday,Halfday,Special Events,Poha,Dosa,Tea,Coffee
1,Thursday,50,0,0,0,14,10,11,5
2,Friday,50,0,0,0,11,26,9,8
3,Saturday,50,0,1,0,10,12,14,8
4,Sunday,50,1,0,0,0,0,0,0
5,Monday,50,0,0,0,9,21,6,9
6,Tuesday,50,0,0,0,7,11,16,9
7,Wednesday,50,0,0,0,11,16,10,6
8,Thursday,50,0,0,0,12,8,11,4
9,Friday,50,0,0,0,20,16,12,4
10,Saturday,50,0,1,0,12,18,6,3
11,Sunday,50,1,0,0,0,0,0,0
12,Monday,50,0,0,1,9,8,16,5
13,Tuesday,50,0,0,0,21,14,18,4
14,Wednesday,50,0,0,0,12,18,24,8
15,Thursday,50,0,0,1,6,11,9,14
16,Friday,50,0,0,0,9,8,11,2
17,Saturday,50,0,1,0,21,17,12,8
18,Sunday,50,1,0,0,0,0,0,0
19,Monday,50,0,0,0,18,11,21,8
20,Tuesday,50,0,0,0,12,6,13,5
21,Wednesday,50,0,0,0,11,12,4,14
22,Thursday,50,0,0,0,12,19,15,5
23,Friday,50,0,0,0,22,21,19,17
24,Saturday,50,0,1,1,12,9,8,3
25,Sunday,50,1,0,0,0,0,0,0
26,Monday,50,0,0,0,11,13,12,7
27,Tuesday,50,0,0,0,18,12,18,9
28,Wednesday,50,0,0,0,11,17,9,11
29,Thursday,50,0,0,0,11,19,13,12
30,Friday,50,0,0,0,19,21,19,8
31,Saturday,50,0,1,0,20,24,20,15
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
