Date,Day,Total Students,Holiday,Halfday,Special Events,Poha,Dosa,Tea,Coffee
1,sunday,50,1,0,0,0,0,0,0
2,monday,50,0,0,0,23,11,19,4
3,tuesday,50,0,0,0,6,4,8,8
4,wednesday,50,0,0,0,7,13,5,9
5,thursday,50,0,0,0,23,8,2,0
6,friday,50,0,0,1,14,17,21,21
7,saturday,50,0,1,0,3,3,24,16
8,sunday,50,1,0,0,0,0,0,0
9,monday,50,0,0,0,2,19,12,4
10,tuesday,50,0,0,0,5,11,17,4
11,wednesday,50,0,0,0,7,12,15,24
12,thursday,50,0,0,0,9,4,25,22
13,friday,50,0,0,1,6,16,22,27
14,saturday,50,0,1,0,21,8,9,14
15,sunday,50,1,0,0,0,0,0,0
16,monday,50,0,0,0,6,9,23,18
17,tuesday,50,0,0,0,9,4,21,21
18,wednesday,50,0,0,0,21,6,14,9
19,thursday,50,0,0,0,16,3,15,4
20,friday,50,0,0,1,6,2,25,4
21,saturday,50,0,1,0,9,7,9,5
22,sunday,50,1,0,0,0,0,0,0
23,monday,50,0,0,0,3,6,21,7
24,tuesday,50,0,0,0,4,4,7,2
25,wednesday,50,1,0,0,0,0,0,0
26,thursday,50,0,0,0,24,24,14,9
27,friday,50,0,0,1,7,21,13,8
28,saturday,50,0,1,0,8,8,17,13
29,sunday,50,1,0,0,0,0,0,0
30,monday,50,0,0,0,3,17,8,14
31,tuesday,50,1,0,0,0,0,0,0
