Date,Day,Total Students,Holiday,Halfday,Special Events,Poha,Dosa,Tea,Coffee
1,friday,50,0,0,1,9,8,5,9
2,saturday,50,0,1,0,7,21,7,8
3,sunday,50,1,0,0,0,0,0,0
4,monday,50,0,0,0,3,11,3,9
5,tuesday,50,0,0,0,11,14,2,3
6,wednesday,50,0,0,0,12,13,6,17
7,thursday,50,0,0,0,15,8,8,6
8,friday,50,0,0,1,21,2,6,3
9,saturday,50,0,1,0,16,3,4,6
10,sunday,50,1,0,0,0,0,0,0
11,monday,50,0,0,0,13,7,8,5
12,tuesday,50,0,0,0,8,8,4,0
13,wednesday,50,1,0,0,0,0,0,0
14,thursday,50,0,0,0,14,4,1,5
15,friday,50,0,0,1,7,5,3,8
16,saturday,50,0,1,0,8,9,6,10
17,sunday,50,1,0,0,0,0,0,0
18,monday,50,0,0,0,21,2,5,5
19,tuesday,50,1,0,0,0,0,0,0
20,wednesday,50,0,0,0,22,1,3,8
21,thursday,50,0,0,0,11,15,7,10
22,friday,50,0,0,1,14,13,12,7
23,saturday,50,0,1,0,15,4,21,9
24,sunday,50,1,0,0,0,0,0,0
25,monday,50,0,0,0,15,7,5,3
26,tuesday,50,0,0,0,11,10,7,5
27,wednesday,50,0,0,0,22,8,9,9
28,thursday,50,0,0,0,17,14,7,8
