Date,Day,Total Students,Holiday,Halfday,Special Events,Poha,Dosa,Tea,Coffee
1,tuesday,50,0,0,0,10,3,7,2
2,wednesday,50,0,0,0,8,6,9,2
3,thursday,50,0,0,0,11,10,8,5
4,friday,50,0,0,1,12,9,7,5
5,saturday,50,0,1,0,15,11,7,3
6,sunday,50,1,0,0,0,0,0,0
7,monday,50,0,0,0,11,6,8,6
8,tuesday,50,0,0,0,7,2,5,3
9,wednesday,50,0,0,0,13,3,5,6
10,thursday,50,0,0,0,11,12,5,7
11,friday,50,0,0,1,12,9,7,5
12,saturday,50,0,1,0,5,1,3,0
13,sunday,50,1,0,0,0,0,0,0
14,monday,50,0,0,0,12,9,7,5
15,tuesday,50,0,0,0,5,1,3,8
16,wednesday,50,0,0,0,2,8,7,10
17,thursday,50,0,0,0,11,10,8,5
18,friday,50,0,0,1,12,9,7,5
19,saturday,50,0,1,0,15,11,7,3
20,sunday,50,1,0,0,0,0,0,0
21,monday,50,0,0,0,20,15,15,10
22,tuesday,50,0,0,0,11,13,11,7
23,wednesday,50,0,0,0,19,2,5,9
24,thursday,50,0,0,0,12,9,7,5
25,friday,50,0,0,1,15,11,7,3
26,saturday,50,0,1,0,11,10,8,5
27,sunday,50,1,0,0,0,0,0,0
28,monday,50,0,0,0,17,14,12,8
29,tuesday,50,0,0,1,11,10,10,6
30,wednesday,50,0,0,0,15,11,7,3
31,thursday,50,0,0,0,11,10,8,5
