Date,Day,Total Students,Holiday,Halfday,Special Events,Poha,Dosa,Tea,Coffee
1,Monday,50,0,0,0,14,15,22,2
2,Tuesday,50,0,0,0,1,11,11,3
3,Wednesday,50,0,0,0,11,12,14,8
4,Thursday,50,0,0,0,9,9,12,6
5,Friday,50,0,0,0,10,18,8,5
6,Saturday,50,0,1,0,8,10,10,9
7,Sunday,50,1,0,0,0,0,0,0
8,Monday,50,0,0,0,19,5,7,3
9,Tuesday,50,0,0,0,16,9,8,2
10,Wednesday,50,0,0,0,11,18,11,3
11,Thursday,50,0,0,0,12,10,12,5
12,Friday,50,0,0,0,9,4,16,11
13,Saturday,50,0,1,0,19,21,11,2
14,Sunday,50,1,0,0,0,0,0,0
15,Monday,50,0,0,1,5,1,7,14
16,Tuesday,50,0,0,0,9,11,9,11
17,Wednesday,50,0,0,0,22,10,16,9
18,Thursday,50,0,0,0,14,9,19,2
19,Friday,50,0,0,0,18,11,20,9
20,Saturday,50,0,1,0,8,5,12,4
21,Sunday,50,1,0,0,0,0,0,0
22,Monday,50,0,0,0,12,13,11,8
23,Tuesday,50,0,0,0,4,17,16,11
24,Wednesday,50,0,0,1,24,10,9,9
25,Thursday,50,0,0,0,9,9,5,4
26,Friday,50,0,0,0,12,11,15,5
27,Saturday,50,0,1,0,15,16,16,10
28,Sunday,50,1,0,0,0,0,0,0
29,Monday,50,0,0,1,15,14,10,17
30,Tuesday,50,0,0,0,19,20,17,10
31,Wednesday,50,0,0,0,16,22,12,9
