Date,Day,Total Students,Holiday,Halfday,Special Events,Poha,Dosa,Tea,Coffee
1,saturday,50,0,0,0,12,2,5,10
2,sunday,50,1,0,0,0,0,0,0
3,monday,50,0,0,0,1,2,9,8
4,tuesday,50,0,0,0,10,7,3,1
5,wednesday,50,0,0,1,14,7,12,3
6,thursday,50,0,0,0,11,5,10,5
7,friday,50,0,0,0,7,5,6,12
8,saturday,50,0,0,0,2,3,0,11
9,sunday,50,1,0,0,0,0,0,0
10,monday,50,0,0,0,10,3,1,7
11,tuesday,50,0,0,0,6,4,11,2
12,wednesday,50,0,0,0,0,7,10,8
13,thursday,50,0,0,0,10,5,9,7
14,friday,50,0,0,0,10,5,9,7
15,saturday,50,0,0,0,11,5,5,10
16,sunday,50,1,0,0,0,0,0,0
17,monday,50,0,0,0,11,5,5,10
18,tuesday,50,0,1,0,10,7,3,1
19,wednesday,50,0,0,0,6,0,13,5
20,thursday,50,0,0,0,2,11,1,23
21,friday,50,0,0,0,0,5,9,5
22,saturday,50,0,0,0,12,5,11,7
23,sunday,50,1,0,0,0,0,0,0
24,monday,50,0,0,0,7,9,9,20
25,tuesday,50,0,0,1,8,0,11,8
26,wednesday,50,0,0,0,10,5,0,0
27,thursday,50,0,0,0,0,7,6,11
28,friday,50,0,0,0,5,13,2,12
29,saturday,50,0,0,0,18,12,11,12
30,sunday,50,1,0,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
