Date,Day,Total Students,Holiday,Halfday,Special Events,Poha,Dosa,Tea,Coffee
1,friday,50,1,0,0,0,0,0,0
2,saturday,50,0,1,0,5,9,9,4
3,sunday,50,1,0,0,0,0,0,0
4,monday,50,1,0,0,0,0,0,0
5,tuesday,50,0,0,0,3,7,7,2
6,wednesday,50,0,0,0,14,4,1,6
7,thursday,50,0,0,0,23,3,8,8
8,friday,50,0,0,1,21,7,5,7
9,saturday,50,0,1,0,4,5,5,5
10,sunday,50,1,0,0,0,0,0,0
11,monday,50,0,0,0,4,3,7,3
12,tuesday,50,0,0,0,5,5,3,7
13,wednesday,50,0,0,0,7,8,6,8
14,thursday,50,0,0,0,3,11,7,6
15,friday,50,0,0,1,23,16,3,4
16,saturday,50,0,1,0,6,22,7,3
17,sunday,50,1,0,0,0,0,0,0
18,monday,50,0,0,0,8,5,7,7
19,tuesday,50,0,0,0,23,8,7,8
20,wednesday,50,0,0,0,2,6,7,6
21,thursday,50,1,0,0,0,0,0,0
22,friday,50,0,0,1,21,3,11,2
23,saturday,50,0,1,0,14,1,5,7
24,sunday,50,1,0,0,0,0,0,0
25,monday,50,0,0,0,1,7,7,6
26,tuesday,50,0,0,0,5,8,8,4
27,wednesday,50,0,0,0,5,5,11,6
28,thursday,50,0,0,0,7,2,12,4
29,friday,50,0,0,1,8,7,10,3
30,saturday,50,0,1,0,15,11,7,7
31,sunday,50,1,0,0,0,0,0,0
