Date,Day,Total Students,Holiday,Halfday,Special Events,Poha,Dosa,Tea,Coffee
1,wednesday,50,0,0,0,10,3,1,7
2,thursday,50,0,0,0,6,4,11,2
3,friday,50,0,0,0,0,7,10,8
4,saturday,50,0,0,0,10,5,9,7
5,sunday,50,1,0,0,0,0,0,0
6,monday,50,0,0,0,11,5,5,10
7,tuesday,50,0,1,0,10,7,3,1
8,wednesday,50,0,0,0,6,0,13,5
9,thursday,50,0,0,0,2,11,1,23
10,friday,50,0,1,0,0,5,9,5
11,saturday,50,0,0,0,12,5,11,7
12,sunday,50,1,0,0,0,0,0,0
13,monday,50,0,0,0,1,2,9,8
14,tuesday,50,0,0,0,10,7,3,1
15,wednesday,50,0,0,0,14,7,12,3
16,thursday,50,0,0,0,11,5,10,5
17,friday,50,0,0,0,7,5,6,12
18,saturday,50,0,0,1,2,3,0,11
19,sunday,50,1,0,0,0,0,0,0
20,monday,50,0,0,0,7,9,9,20
21,tuesday,50,0,0,0,8,0,11,8
22,wednesday,50,0,0,0,10,5,0,0
23,thursday,50,0,0,0,0,7,6,11
24,friday,50,0,0,0,5,13,2,12
25,saturday,50,0,0,0,18,12,11,12
26,sunday,50,1,0,0,0,0,0,0
27,monday,50,0,0,0,7,11,10,0
28,tuesday,50,0,0,0,7,0,1,12
29,wednesday,50,0,0,0,8,9,0,0
30,thursday,50,0,0,0,0,0,14,11
31,friday,50,0,1,0,3,11,11,13
,,,,,,,,,
,,,,,,,,,
