Date,Day,Total Students,Holiday,Halfday,Special Events,Poha,Dosa,Tea,Coffee
1,friday,50,0,0,1,15,21,13,16
2,saturday,50,0,1,0,11,2,4,9
3,sunday,50,1,0,0,0,0,0,0
4,monday,50,0,0,0,3,8,12,15
5,tuesday,50,0,0,0,21,2,4,16
6,wednesday,50,0,0,0,24,21,3,7
7,thursday,50,0,0,0,12,4,8,3
8,friday,50,0,0,1,2,1,23,21
9,saturday,50,0,1,0,2,8,12,7
10,sunday,50,1,0,0,0,0,0,0
11,monday,50,0,0,0,7,4,12,4
12,tuesday,50,0,0,0,7,9,4,12
13,wednesday,50,0,0,0,4,7,14,16
14,thursday,50,0,0,0,6,7,8,15
15,friday,50,0,0,1,4,1,7,9
16,saturday,50,0,1,0,9,6,5,18
17,sunday,50,1,0,0,0,0,0,0
18,monday,50,0,0,0,23,21,23,12
19,tuesday,50,0,0,0,3,13,17,2
20,wednesday,50,0,0,0,22,27,25,3
21,thursday,50,0,0,0,4,8,9,5
22,friday,50,0,0,1,21,21,13,1
23,saturday,50,0,1,0,14,11,1,8
24,sunday,50,1,0,0,0,0,0,0
25,monday,50,0,0,0,21,3,7,9
26,tuesday,50,0,0,0,24,3,1,6
27,wednesday,50,0,0,0,2,6,4,9
28,thursday,50,0,0,0,3,7,4,13
29,friday,50,0,0,1,32,11,3,13
30,saturday,50,0,1,0,5,6,2,7
