Date,Day,Total Students,Holiday,Halfday,Special Events,Poha,Dosa,Tea,Coffee
1,Sunday,50,1,0,0,0,0,0,0
2,Monday,50,0,0,0,13,24,10,7
3,Tuesday,50,0,0,0,9,10,19,9
4,Wednesday,50,0,0,0,11,17,7,17
5,Thursday,50,0,0,0,13,20,9,11
6,Friday,50,0,0,0,9,21,19,9
7,Saturday,50,0,1,0,17,9,14,7
8,Sunday,50,1,0,0,0,0,0,0
9,Monday,50,0,0,0,26,14,18,5
10,Tuesday,50,0,0,1,10,20,9,2
11,Wednesday,50,0,0,0,9,14,14,9
12,Thursday,50,0,0,0,16,10,18,8
13,Friday,50,0,0,0,28,12,12,3
14,Saturday,50,0,1,0,8,19,21,12
15,Sunday,50,1,0,0,0,0,0,0
16,Monday,50,0,0,0,12,11,21,10
17,Tuesday,50,0,0,0,22,19,18,15
18,Wednesday,50,0,0,0,8,21,11,11
19,Thursday,50,0,0,0,19,8,19,8
20,Friday,50,0,0,0,11,15,9,5
21,Saturday,50,0,1,0,7,12,8,6
22,Sunday,50,1,0,0,0,0,0,0
23,Monday,50,0,0,0,27,25,20,18
24,Tuesday,50,0,0,0,11,10,21,8
25,Wednesday,50,0,0,0,18,7,11,9
26,Thursday,50,0,0,0,9,16,8,11
27,Friday,50,0,0,0,14,18,16,13
28,Saturday,50,0,1,0,6,20,7,15
29,Sunday,50,1,0,0,0,0,0,0
30,Monday,50,0,0,0,24,17,20,19
